,Product Name,Price,Link
0,Calm & Repair Barrier Travel Set (4pcs),Rp 185.000,https://somethinc.com/en/product/detail/calm-repair-barrier-travel-set-4pcs
1,Best of the Best Travel Set (4pcs),Rp 185.000,https://somethinc.com/en/product/detail/best-of-the-best-travel-set-4pcs
2,Bright & Glow Travel Set (4pcs),Rp 185.000,https://somethinc.com/en/product/detail/bright-glow-travel-set-4pcs
3,Acne Treatment Travel Set (4pcs),Rp 185.000,https://somethinc.com/en/product/detail/acne-treatment-travel-set-4pcs
4,Calm Down! Skinpair R-Cover Cream,Rp 129.000,https://somethinc.com/en/product/detail/calm-down-skinpair-r-cover-cream
5,ACNE SHOT AC Overnight Treatment Spot Cream - 10gr,Rp 93.500,https://somethinc.com/en/product/detail/acne-shot-ac-overnight-treatment-spot-cream-10gr
6,10% Lactic + Glycolic Peeling Serum,Rp 119.000,https://somethinc.com/en/product/detail/10-lactic-glycolic-peeling-serum
7,5% Mandelic Acid Mild Exfoliating Serum,Rp 131.000,https://somethinc.com/en/product/detail/5-mandelic-acid-mild-exfoliating-serum
8,Combo Exfoliating Glowing - Advanced User,Rp 223.860,https://somethinc.com/en/product/detail/combo-exfoliating-glowing-advanced-user
9,Combo Exfoliating Glowing - Sensitive Skin,Rp 223.860,https://somethinc.com/en/product/detail/combo-exfoliating-glowing-sensitive-skin
10,Paket Best Seller Layering Serum Berlian - Advanced User,Rp 241.900,https://somethinc.com/en/product/detail/paket-best-seller-layering-serum-berlian-advanced-user
11,Paket Best Seller Layering Serum Berlian - Sensitive Skin,Rp 241.900,https://somethinc.com/en/product/detail/paket-best-seller-layering-serum-berlian-sensitive-skin
12,Skin Solver Kulit Berminyak dan Berjerawat Kit (2% BHA Refor),Rp 314.100,https://somethinc.com/en/product/detail/skin-solver-kulit-berminyak-dan-berjerawat-kit-2-bha-refor
13,Paket Best of the Best Skincare (Free Pouch),Rp 552.400,https://somethinc.com/en/product/detail/paket-best-of-the-best-skincare-free-pouch
14,VITA PROPOLIS Hydra Power Mist,Rp 38.500,https://somethinc.com/en/product/detail/vita-propolis-hydra-power-mist
15,[2 PCS] Makeup Prep Kit,Rp 180.500,https://somethinc.com/en/product/detail/2-pcs-makeup-prep-kit
16,Paket Lengkap Calm Down! Series,Rp 401.120,https://somethinc.com/en/product/detail/4-pcs-paket-lengkap-calm-down-series
17,Calm Down! Skinpair Barrier Serum,Rp 120.000,https://somethinc.com/en/product/detail/calm-down-skinpair-barrier-serum
18,Calm Down! Skinpair Bubble Cleanser,Rp 109.000,https://somethinc.com/en/product/detail/calm-down-skinpair-bubble-cleanser
19,Low pH Gentle Jelly Cleanser,Rp 39.000,https://somethinc.com/en/product/detail/low-ph-gentle-jelly-cleanser
20,ACNEDOT Treatment Low pH Cleanser,Rp 109.000,https://somethinc.com/en/product/detail/acnedot-treatment-low-ph-cleanser
21,SKIN GOALS Moisture Silk Cremè - Shinchan x Tahilalats,Rp 98.000,https://somethinc.com/en/product/detail/skin-goals-moisture-silk-crem-shinchan-x-tahilalats
22,2% BHA Salicylic Acid Acne Treatment,Rp 131.000,https://somethinc.com/en/product/detail/2-bha-salicylic-acid-acne-treatment
23,SKIN SOLVER Kulit Cerah Bebas Jerawat dan Komedo Kit (New Formulation),Rp 192.000,https://somethinc.com/en/product/detail/skin-solver-kulit-cerah-bebas-jerawat-dan-komedo-kit-new-formulation
24,[4 PCS] Paket Skincare Berlian Diamond + Toner - Bebas Jerawat (New Formulation),Rp 350.250,https://somethinc.com/en/product/detail/4-pcs-paket-skincare-berlian-diamond-toner-bebas-jerawat-new-formulation
25,AHA BHA PHA Peeling Solution,Rp 131.000,https://somethinc.com/en/product/detail/aha-bha-pha-peeling-solution
26,Holyshield! No Sebum Mineral Blur Translucent Loose Powder SPF39 PA++++,Rp 109.000,https://somethinc.com/en/product/detail/no-sebum-mineral-blur-translucent-loose-powder-spf39-pa
27,(REFILL) Ceramic Skin Saviour Moisturizer Gel - Reformulated,Rp 252.000,https://somethinc.com/en/product/detail/refill-ceramic-skin-saviour-moisturizer-gel
